Population evolutions


{'emptyWeight': 761, 'mergeableWeight': 153, 'montonicWeight': 120, 'totalValueWeight': 419}
{'emptyWeight': 335, 'mergeableWeight': 249, 'montonicWeight': 163, 'totalValueWeight': 525}
{'emptyWeight': 531, 'mergeableWeight': 74, 'montonicWeight': 518, 'totalValueWeight': 537}
{'emptyWeight': 149, 'mergeableWeight': 49, 'montonicWeight': 820, 'totalValueWeight': 672}
{'emptyWeight': 531, 'mergeableWeight': 74, 'montonicWeight': 820, 'totalValueWeight': 537}
{'emptyWeight': 149, 'mergeableWeight': 49, 'montonicWeight': 565, 'totalValueWeight': 672}
{'emptyWeight': 90, 'mergeableWeight': 889, 'montonicWeight': 815, 'totalValueWeight': 844}
{'emptyWeight': 461, 'mergeableWeight': 880, 'montonicWeight': 600, 'totalValueWeight': 929}
{'emptyWeight': 177, 'mergeableWeight': 36, 'montonicWeight': 542, 'totalValueWeight': 217}
{'emptyWeight': 308, 'mergeableWeight': 553, 'montonicWeight': 504, 'totalValueWeight': 295}
{'emptyWeight': 655, 'mergeableWeight': 914, 'montonicWeight': 769, 'totalValueWeight': 911}
{'emptyWeight': 550, 'mergeableWeight': 419, 'montonicWeight': 821, 'totalValueWeight': 356}
{'emptyWeight': 308, 'mergeableWeight': 939, 'montonicWeight': 558, 'totalValueWeight': 217}
{'emptyWeight': 203, 'mergeableWeight': 36, 'montonicWeight': 642, 'totalValueWeight': 278}
{'emptyWeight': 550, 'mergeableWeight': 717, 'montonicWeight': 769, 'totalValueWeight': 911}
{'emptyWeight': 898, 'mergeableWeight': 914, 'montonicWeight': 421, 'totalValueWeight': 713}
{'emptyWeight': 550, 'mergeableWeight': 939, 'montonicWeight': 282, 'totalValueWeight': 346}
{'emptyWeight': 203, 'mergeableWeight': 900, 'montonicWeight': 642, 'totalValueWeight': 278}
{'emptyWeight': 625, 'mergeableWeight': 71, 'montonicWeight': 249, 'totalValueWeight': 531}
{'emptyWeight': 330, 'mergeableWeight': 59, 'montonicWeight': 652, 'totalValueWeight': 41}
{'emptyWeight': 149, 'mergeableWeight': 872, 'montonicWeight': 820, 'totalValueWeight': 537}
{'emptyWeight': 655, 'mergeableWeight': 74, 'montonicWeight': 629, 'totalValueWeight': 919}
{'emptyWeight': 625, 'mergeableWeight': 998, 'montonicWeight': 594, 'totalValueWeight': 531}
{'emptyWeight': 971, 'mergeableWeight': 59, 'montonicWeight': 652, 'totalValueWeight': 851}
{'emptyWeight': 531, 'mergeableWeight': 900, 'montonicWeight': 759, 'totalValueWeight': 346}
{'emptyWeight': 550, 'mergeableWeight': 74, 'montonicWeight': 518, 'totalValueWeight': 537}
{'emptyWeight': 655, 'mergeableWeight': 49, 'montonicWeight': 820, 'totalValueWeight': 672}
{'emptyWeight': 149, 'mergeableWeight': 419, 'montonicWeight': 821, 'totalValueWeight': 911}
{'emptyWeight': 411, 'mergeableWeight': 49, 'montonicWeight': 347, 'totalValueWeight': 370}
{'emptyWeight': 531, 'mergeableWeight': 80, 'montonicWeight': 518, 'totalValueWeight': 708}
{'emptyWeight': 421, 'mergeableWeight': 419, 'montonicWeight': 821, 'totalValueWeight': 919}
{'emptyWeight': 421, 'mergeableWeight': 516, 'montonicWeight': 629, 'totalValueWeight': 911}
{'emptyWeight': 90, 'mergeableWeight': 255, 'montonicWeight': 157, 'totalValueWeight': 844}
{'emptyWeight': 421, 'mergeableWeight': 889, 'montonicWeight': 815, 'totalValueWeight': 105}
{'emptyWeight': 421, 'mergeableWeight': 516, 'montonicWeight': 369, 'totalValueWeight': 217}
{'emptyWeight': 308, 'mergeableWeight': 36, 'montonicWeight': 821, 'totalValueWeight': 911}
{'emptyWeight': 531, 'mergeableWeight': 889, 'montonicWeight': 820, 'totalValueWeight': 867}
{'emptyWeight': 90, 'mergeableWeight': 74, 'montonicWeight': 815, 'totalValueWeight': 464}
{'emptyWeight': 531, 'mergeableWeight': 74, 'montonicWeight': 820, 'totalValueWeight': 537}
{'emptyWeight': 531, 'mergeableWeight': 74, 'montonicWeight': 518, 'totalValueWeight': 537}
{'emptyWeight': 550, 'mergeableWeight': 914, 'montonicWeight': 769, 'totalValueWeight': 713}
{'emptyWeight': 82, 'mergeableWeight': 220, 'montonicWeight': 421, 'totalValueWeight': 911}
{'emptyWeight': 75, 'mergeableWeight': 419, 'montonicWeight': 249, 'totalValueWeight': 41}
{'emptyWeight': 655, 'mergeableWeight': 71, 'montonicWeight': 973, 'totalValueWeight': 911}
{'emptyWeight': 550, 'mergeableWeight': 49, 'montonicWeight': 347, 'totalValueWeight': 370}
{'emptyWeight': 411, 'mergeableWeight': 900, 'montonicWeight': 282, 'totalValueWeight': 346}
{'emptyWeight': 531, 'mergeableWeight': 74, 'montonicWeight': 30, 'totalValueWeight': 537}
{'emptyWeight': 609, 'mergeableWeight': 74, 'montonicWeight': 518, 'totalValueWeight': 537}
{'emptyWeight': 65, 'mergeableWeight': 74, 'montonicWeight': 820, 'totalValueWeight': 537}
{'emptyWeight': 149, 'mergeableWeight': 74, 'montonicWeight': 636, 'totalValueWeight': 537}
