Weights: {'emptyWeight': 400, 'mergeableWeight': 800, 'montonicWeight': 400, 'totalValueWeight': 200}
Weights: {'emptyWeight': 600, 'mergeableWeight': 600, 'montonicWeight': 600, 'totalValueWeight': 800}
Weights: {'emptyWeight': 200, 'mergeableWeight': 200, 'montonicWeight': 600, 'totalValueWeight': 200}
Weights: {'emptyWeight': 200, 'mergeableWeight': 200, 'montonicWeight': 200, 'totalValueWeight': 200}
Weights: {'emptyWeight': 104, 'mergeableWeight': 922, 'montonicWeight': 787, 'totalValueWeight': 842}
Weights: {'emptyWeight': 269, 'mergeableWeight': 212, 'montonicWeight': 236, 'totalValueWeight': 386}
Weights: {'emptyWeight': 800, 'mergeableWeight': 600, 'montonicWeight': 400, 'totalValueWeight': 600}
Weights: {'emptyWeight': 400, 'mergeableWeight': 400, 'montonicWeight': 400, 'totalValueWeight': 600}
Weights: {'emptyWeight': 757, 'mergeableWeight': 871, 'montonicWeight': 194, 'totalValueWeight': 558}
Weights: {'emptyWeight': 52, 'mergeableWeight': 244, 'montonicWeight': 904, 'totalValueWeight': 951}
Weights: {'emptyWeight': 517, 'mergeableWeight': 218, 'montonicWeight': 570, 'totalValueWeight': 990}
Weights: {'emptyWeight': 732, 'mergeableWeight': 130, 'montonicWeight': 847, 'totalValueWeight': 387}
Weights: {'emptyWeight': 608, 'mergeableWeight': 289, 'montonicWeight': 21, 'totalValueWeight': 155}
Weights: {'emptyWeight': 19, 'mergeableWeight': 935, 'montonicWeight': 361, 'totalValueWeight': 894}
Weights: {'emptyWeight': 398, 'mergeableWeight': 818, 'montonicWeight': 57, 'totalValueWeight': 39}
Weights: {'emptyWeight': 200, 'mergeableWeight': 400, 'montonicWeight': 200, 'totalValueWeight': 200}
Weights: {'emptyWeight': 800, 'mergeableWeight': 200, 'montonicWeight': 600, 'totalValueWeight': 600}
Weights: {'emptyWeight': 400, 'mergeableWeight': 600, 'montonicWeight': 800, 'totalValueWeight': 800}
Weights: {'emptyWeight': 600, 'mergeableWeight': 600, 'montonicWeight': 200, 'totalValueWeight': 400}
Weights: {'emptyWeight': 902, 'mergeableWeight': 473, 'montonicWeight': 268, 'totalValueWeight': 770}
Weights: {'emptyWeight': 879, 'mergeableWeight': 681, 'montonicWeight': 273, 'totalValueWeight': 535}
Weights: {'emptyWeight': 997, 'mergeableWeight': 318, 'montonicWeight': 675, 'totalValueWeight': 545}
Weights: {'emptyWeight': 561, 'mergeableWeight': 704, 'montonicWeight': 717, 'totalValueWeight': 733}
Weights: {'emptyWeight': 333, 'mergeableWeight': 848, 'montonicWeight': 537, 'totalValueWeight': 775}
Weights: {'emptyWeight': 584, 'mergeableWeight': 494, 'montonicWeight': 954, 'totalValueWeight': 952}
Weights: {'emptyWeight': 992, 'mergeableWeight': 547, 'montonicWeight': 816, 'totalValueWeight': 746}
Weights: {'emptyWeight': 475, 'mergeableWeight': 656, 'montonicWeight': 165, 'totalValueWeight': 775}
Weights: {'emptyWeight': 716, 'mergeableWeight': 961, 'montonicWeight': 923, 'totalValueWeight': 856}
